Age,Salary,Experience,Hours_Online,Previous_Purchases,Rating,Purchased
56,122916,10,8.0,12,5.6,1
46,132250,12,8.3,17,9.9,0
32,136553,14,10.8,10,3.1,0
60,63872,0,8.0,30,9.5,1
25,66197,7,7.8,27,1.4,1
38,145733,5,1.7,11,5.0,0
56,75180,8,6.7,5,1.6,0
36,43710,7,2.7,8,7.6,0
40,49486,10,9.1,15,6.5,0
28,91907,10,6.6,3,7.4,0
28,148876,10,8.5,2,4.4,1
41,91895,23,1.5,27,4.3,0
53,84435,8,1.9,15,1.4,0
57,60631,16,8.9,23,4.1,0
41,149038,11,1.8,26,9.4,1
20,121532,2,1.8,25,4.4,1
39,40103,13,1.1,29,8.5,0
19,84772,1,11.5,24,8.6,0
41,146108,15,9.1,11,4.4,1
47,34382,21,4.9,10,6.7,1
55,104291,21,4.3,4,1.9,1
19,121195,1,4.8,24,1.9,0
38,23756,19,9.5,17,1.4,0
50,40609,0,8.3,18,6.2,1
29,134074,9,3.0,22,4.8,1
39,36478,7,2.9,22,5.9,0
42,120978,17,2.1,5,5.7,0
44,59666,26,8.3,21,4.2,0
59,95683,0,9.4,17,7.1,1
45,119097,1,3.9,25,7.8,1
33,144714,0,1.2,5,1.1,0
32,120420,0,1.9,3,2.9,0
20,91315,2,11.6,11,7.4,0
54,97834,12,4.2,18,4.5,0
24,146205,6,9.5,28,7.0,1
38,34153,0,7.9,26,4.1,0
26,129415,8,5.2,28,4.5,1
56,96325,19,3.3,1,2.4,1
35,129701,17,2.3,16,3.3,0
21,32999,3,7.8,10,6.4,0
42,75318,6,9.5,10,4.9,1
31,20814,1,8.1,20,8.0,0
26,135033,5,6.8,15,8.7,1
43,96077,6,1.5,1,5.9,0
19,110474,1,11.7,1,7.8,0
37,22443,13,9.8,22,3.8,0
45,95993,25,4.2,7,4.7,1
24,95916,6,11.8,12,7.4,1
25,93319,7,7.6,9,4.5,1
52,145885,1,7.4,7,6.3,0
31,129777,9,9.2,29,2.7,0
34,37368,16,9.9,3,6.4,1
53,35328,11,8.2,14,8.8,1
57,76942,16,2.4,29,8.8,1
21,111751,3,4.7,0,7.5,0
19,119131,1,11.2,10,7.7,0
23,47306,5,3.5,6,6.0,0
59,105451,2,5.1,16,6.3,0
21,59915,3,5.8,26,2.2,0
46,57219,5,5.8,19,5.0,0
35,100879,8,7.7,23,5.1,1
43,131939,5,11.4,17,9.6,1
51,84644,8,3.6,21,4.9,1
27,80279,6,2.3,28,5.9,0
53,73028,30,3.2,21,5.8,1
31,124263,8,10.8,11,6.7,1
48,20126,17,8.1,8,7.7,0
32,72329,11,4.1,4,3.0,0
25,47632,7,10.0,9,5.8,0
31,127099,7,10.5,3,8.4,1
40,85310,17,10.3,4,5.2,1
57,129945,27,11.1,27,3.5,1
38,75176,20,3.8,27,6.9,0
33,139797,15,9.3,9,8.4,1
35,106066,17,6.1,30,1.6,0
41,125500,14,10.3,10,8.0,1
43,146413,25,9.0,20,8.4,1
42,64327,24,9.5,23,5.2,1
58,88904,6,8.2,9,9.8,1
46,23797,10,3.0,27,8.1,1
32,67882,14,7.0,7,8.0,1
18,33718,0,11.8,1,7.7,0
42,54560,3,11.3,22,2.4,0
24,96589,5,1.5,7,3.0,0
26,42116,8,2.8,15,5.2,0
41,56244,21,2.4,26,3.4,1
18,121721,0,9.0,21,4.7,1
25,21645,7,10.0,4,9.0,0
41,67523,2,3.3,26,8.4,0
28,144085,10,6.6,24,6.7,1
34,137718,8,10.2,28,8.7,1
25,39256,7,9.1,2,8.1,1
52,121376,9,7.0,11,4.9,1
